date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:49	331/331	---M-Z	200	added ('OK')	text/plain	date:Wed,%2005%20Apr%202023%2018:28:54%20GMT	http://www.unitedescrowinc.com/robots.txt		(from )
18:09:49	37215/37215	---M-Z	200	added ('OK')	text/html	etag:W/%22feb7d15bacfda1bc450525d3a5346c76--gzip%22	http://www.unitedescrowinc.com/	C:/My%20Web%20Sites/escrow/United%20escrow/www.unitedescrowinc.com/index.html	(from )
18:09:50	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sat,%2008%20Apr%202023%2000:09:50%20GMT	http://static1.squarespace.com/static/54dd192ee4b03539bbd71c29/t/54e7691ae4b0c686e90c9ddf/1424451866933/UEred.png?format=1500w	C:/My%20Web%20Sites/escrow/United%20escrow/static1.squarespace.com/static/54dd192ee4b03539bbd71c29/t/54e7691ae4b0c686e90c9ddf/1424451866933/UEred.026f7.delayed	(from http://www.unitedescrowinc.com/)
18:09:53	11614/11614	---M--	200	added ('OK')	image/png	etag:CJrf7szWnusCEAE=	https://images.squarespace-cdn.com/content/54dd192ee4b03539bbd71c29/1424451866231-I06QV4LSLH58N9DPLZFF/UEred.png?content-type=image%2Fpng	C:/My%20Web%20Sites/escrow/United%20escrow/images.squarespace-cdn.com/content/54dd192ee4b03539bbd71c29/1424451866231-I06QV4LSLH58N9DPLZFF/UEred5d45.png	(from http://www.unitedescrowinc.com/)
18:09:53	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/escrow/United%20escrow/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from http://www.unitedescrowinc.com/)
18:09:54	20664/20664	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2008%20Apr%202023%2000:09:53%20GMT	http://use.typekit.net/ik/qEAj4MWFMhastEpcwztAQeC-Drk5Bi0zIiaEA3rwCZjfeT62fFHN4UJLFRbh52jhWD9XZebU5Q48ZQsKw2wuwD8KjcbawAwk5s7dMPG0Sas8ic9ljhyzdKuhiYyRO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCSas8ic9ljhyzdKuhiYyRO1FUiABkZWF3jAF8OcFzdPUudc8XZAs8ShFkdaiTdcw0jhNlOYiaikoDiemhZPuR-eN0OWZXpew0SaBujW48Sagyjh90jhNlOYiaikoudc8XZAs8ShFkdaiTdcw0jhNlJ6U3ScNt-AuyOAozicIKIcBqdh48OAiyScBldhoqOWgkdkJbjAszjc9ljhBDdeN0OWgkdkG4f5J7IMMjMkMfH6qJn3IbMg6IJMJ7fbKlMsMMeMj6MKG4fJCgIMMjgkMfH6qJ7bIbMg6JJMJ7fbRRHyMMeMX6MKG4fHtgIMMjIfMfH6qJRMIbMg6sJMJ7fbRDFgMgeMb6MKG4fVJXIMIj2KMfH6qJTqJbMy6eJMJ7fbKqbyMfeMS6MKG4fHifIMJjIfMfH6qJT9JbMy6sJMHbMSxC8CqB.js	C:/My%20Web%20Sites/escrow/United%20escrow/use.typekit.net/ik/qEAj4MWFMhastEpcwztAQeC-Drk5Bi0zIiaEA3rwCZjfeT62fFHN4UJLFRbh52jhWD9XZebU5Q48ZQsKw2wuwD8KjcbawAwk5s7dMPG0Sas8ic9ljhyzdKuhiYyRO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCSas8ic9ljhyzdKuhiYyR	(from http://www.unitedescrowinc.com/)
18:09:57	49366/49366	---M-Z	200	added ('OK')	text/javascript	etag:%22cdf77af2a5e86dd12e9aab927bce9f90%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-af949235d15eedd394b42-min.en-US.js	C:/My%20Web%20Sites/escrow/United%20escrow/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-af949235d15eedd394b42-min.en-US.js	(from http://www.unitedescrowinc.com/)
18:09:58	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/escrow/United%20escrow/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from http://www.unitedescrowinc.com/)
18:09:59	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%220da90896a2a05c2a8d1acf3d60dbc2f5%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-56fdc0b6309d3f37f75e8-min.en-US.js	C:/My%20Web%20Sites/escrow/United%20escrow/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-56fdc0b6309d3f37f75e8-min.en-US.js	(from http://www.unitedescrowinc.com/)
18:10:10	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%2259c3fdb6b596204fc9f3887de0d9dff9%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-dade9d616ff90ebf99b1d-min.en-US.js	C:/My%20Web%20Sites/escrow/United%20escrow/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-dade9d616ff90ebf99b1d-min.en-US.js	(from http://www.unitedescrowinc.com/)
